collected_at,kai_id,threads_media_id,permalink,published_at,format,topic,topic_tag,snapshot_label,age_hours,views,likes,replies,reposts,quotes,shares,like_rate,reply_rate,share_rate,weighted_score
2026-07-29 22:01:07,,18132146695714367,https://www.threads.com/@kai.fukuen/post/DbVYj0xFFyU,2026-07-28 11:01:36,three_choice,連絡時期,,,34.991943643055556,35,1,4,0,0,0,0.02857142857142857,0.11428571428571428,0.0,0.4857142857142857
2026-07-29 22:01:07,,18118048802500199,https://www.threads.com/@kai.fukuen/post/DbWtUuDgRJK,2026-07-28 23:21:51,short_advice,追撃連絡,,,22.654520203611114,28,0,0,0,0,0,0.0,0.0,0.0,0.0
2026-07-29 22:01:07,,17927015271146126,https://www.threads.com/@kai.fukuen/post/DbXGbcfjokN,2026-07-29 03:01:08,event_countdown,月末,,,18.99986445861111,83,1,0,0,0,0,0.012048192771084338,0.0,0.0,0.012048192771084338
2026-07-30 22:09:01,,18110888189001312,https://www.threads.com/@kai.fukuen/post/DbX9X4AFjqF,2026-07-29 11:01:55,three_choice,復縁可能性,,,35.118482552222225,65,1,3,0,0,0,0.015384615384615385,0.046153846153846156,0.0,0.2
2026-07-30 22:09:02,,18015131735873856,https://www.threads.com/@kai.fukuen/post/DbZI44PGw22,2026-07-29 22:01:06,psychology,不安,,,24.13217015277778,34,1,0,0,0,0,0.029411764705882353,0.0,0.0,0.029411764705882353
2026-07-30 22:09:02,,17868548667588134,https://www.threads.com/@kai.fukuen/post/DbZrN2flG8z,2026-07-30 03:01:02,poll,復縁の悩み,,,19.13334924,490,11,24,0,0,0,0.022448979591836733,0.04897959183673469,0.0,0.2183673469387755
2026-07-31 22:01:19,,18067142081743417,https://www.threads.com/@kai.fukuen/post/DbaiKbulKEi,2026-07-30 11:01:47,three_choice,彼からの連絡,,,34.99219775527778,1170,30,14,0,0,0,0.02564102564102564,0.011965811965811967,0.0,0.0735042735042735
2026-07-31 22:01:19,,18076335035366564,https://www.threads.com/@kai.fukuen/post/DbbulsQCVkt,2026-07-30 22:09:01,story,連絡の失敗,,,23.87169121861111,77,1,0,0,0,0,0.012987012987012988,0.0,0.0,0.012987012987012988
2026-07-31 22:01:19,,18607189879059154,https://www.threads.com/@kai.fukuen/post/DbcQBpQFJDs,2026-07-31 03:01:11,event_today,月末,,,19.00230307361111,15,0,0,0,0,0,0.0,0.0,0.0,0.0
2026-08-01 10:18:04,,18118048802500199,https://www.threads.com/@kai.fukuen/post/DbWtUuDgRJK,2026-07-28 23:21:51,short_advice,追撃連絡,,72h,82.93688099750001,32,1,0,0,0,0,0.03125,0.0,0.0,0.03125
2026-08-01 10:18:04,,17927015271146126,https://www.threads.com/@kai.fukuen/post/DbXGbcfjokN,2026-07-29 03:01:08,event_countdown,月末,,72h,79.28223487444446,86,1,0,0,0,0,0.011627906976744186,0.0,0.0,0.011627906976744186
